"","Human","Monkey","Rabbit","GuineaPig","Mouse","Rat","GoldenHamster","ChineseHamster","Dog","Pig","Goat","Zebrafish"
"piRNA",0.354903257953246,0.204152058485698,0.349511802507662,0.352919332979467,-0.396750291004159,0.0945774009607904,0.271571627695111,0.422109115511598,0.441951716379254,0.457996831947947,0.418923281470391,-0.104105813788878
"Div",-0.559467679950822,-0.525781481553836,-0.528121759144952,-0.551950760471327,0.254527924365634,-0.214667994409677,-0.549426672159259,-0.676446985616826,-0.540124318851125,-0.503202259225366,-0.594630086428178,0.0685974998398701
"Copies",0.290725571204439,0.366570434446471,0.191313787629166,0.184514825265644,0.0567232025953757,0.262208188232382,0.18578375195041,0.542431727453647,0.775543887360474,0.210652576090958,0.425752183205819,0.597247284765036
"Lenght",0.13888973822393,0.0128592731977347,0.000249428081959568,0.00893828916055456,-0.665869211093907,-0.447274579610198,-0.131543506220944,-0.00352106174078433,-0.291286929161426,-0.255574194263583,-0.108696862634563,-0.432831781243256
