"","Human","Monkey","Rabbit","GuineaPig","Mouse","Rat","GoldenHamster","ChineseHamster","Dog","Pig","Goat","Zebrafish"
"TE",0.354903257953246,0.204152058485698,0.349511802507662,0.352919332979467,-0.396750291004159,0.0945774009607904,0.271571627695111,0.422109115511598,0.441951716379254,0.457996831947947,0.418923281470391,-0.104105813788878
"Div",-0.364938996854084,-0.305343459341455,-0.200423899886512,-0.249247296906009,-0.585913178846366,-0.311015708178264,-0.181136641861706,-0.463570287096203,-0.2366900878632,-0.358454780467775,-0.409917754129583,0.00717780518011668
"Copies",0.25394634885866,0.281142946652594,0.280203941482114,0.325460774358521,0.448469734658766,0.163118649587066,0.261203079560502,0.267531411680038,0.491432494308646,0.323169857719976,0.461305201235511,0.0413007834470014
"Lenght",0.536847327386784,0.540725723737589,0.426278655655478,0.354319694933245,0.549551029778769,0.352512675728455,0.227820153608213,0.347582500434136,0.325621647606901,0.0981774324912632,0.0660079385460546,0.0738300663322584
