piRNA Div_Group
222 2.39471035072675 Medium-low
223 2.39386222765665 Medium-low
224 2.39386222765665 Medium-low
225 2.38572136012377 High
226 2.38442189477089 Medium-low
227 2.38442189477089 Medium-low
228 2.38006204579825 Medium-low
229 2.38006204579825 Medium-low
230 2.37962364395043 Low
231 2.37786559763089 Medium-low
232 2.37654237677053 High
233 2.37610040571421 Medium-high
234 2.37565798441633 Medium-low
235 2.37432800987655 Medium-low
236 2.37165577941742 Low
237 2.37120880473131 Low
238 2.37031347291194 High
239 2.36535587968102 Medium-high
240 2.36490237048853 Medium-low
241 2.35896324640324 Medium-low
242 2.35758106783815 Medium-low
243 2.35013422384597 High
244 2.3444640777367 High
245 2.3444640777367 Medium-low
246 2.3430348981313 High
247 2.3430348981313 High
248 2.34207949215791 High
249 2.34064243072409 High
250 2.33630249317897 Medium-low
251 2.3319187481708 High
252 2.32798458767263 Medium-low
253 2.31239393297714 Low
254 2.30724290063305 Medium-high
255 2.30672442117724 Medium-low
256 2.30255415023411 Medium-high
257 2.29248624971833 Medium-low
258 2.29141276561706 Medium-low
259 2.27831962480066 High
260 2.27776541693027 High
261 2.27498371921894 Low
262 2.27162199138369 Low
263 2.26766680109966 Medium-high
264 2.25382598465748 High
265 2.25323960024948 Medium-high
266 2.25206445086642 High
267 2.249704569418 High
268 2.24194517292834 Medium-high
269 2.23952950445122 High
270 2.2334308858252 High
271 2.22537245109032 Medium-low
272 2.22474633363813 Medium-high
273 2.22160213437804 Medium-low
274 2.21652358249766 High
275 2.21524461066052 Low
276 2.20814213569629 High
277 2.2048749359726 Medium-high
278 2.20158297065846 Medium-low
279 2.1942515948016 Medium-low
280 2.19223046095848 Medium-high
281 2.18815975444415 High
282 2.18405053128778 Medium-high
283 2.18267210440348 Medium-high
284 2.17501154526844 Medium-low
285 2.17501154526844 High
286 2.16792816478522 Medium-low
287 2.16217708452644 Medium-low
288 2.16072733550824 Low
289 2.14670783967197 Medium-high
290 2.13990568430061 High
291 2.13914327057524 Low
292 2.13608016042128 Medium-low
293 2.12122786204175 Low
294 2.12043191295088 High
295 2.119634502413 Medium-high
296 2.11803527546002 High
297 2.11643013781187 High
298 2.11401125272259 Medium-low
299 2.11320195452559 Medium-low
300 2.11157881970327 Medium-low
301 2.10994959580257 High
302 2.10831423696591 Medium-low
303 2.10831423696591 Medium-low
304 2.10749424247411 High
305 2.10337088441661 Medium-high
306 2.10004377688096 High
307 2.09920800206073 Medium-high
308 2.09669098364336 High
309 2.09584872530969 Medium-low
310 2.09584872530969 Medium-high
311 2.09246326179717 High
312 2.08647444559635 High
313 2.08561211879208 Medium-low
314 2.08561211879208 High
316 2.08127461294997 Medium-low
317 2.0760117671887 Medium-high
319 2.06165750690574 Medium-low
320 2.06074441561994 Medium-low
321 2.05707273105437 Medium-high
322 2.05243903759952 High
323 2.05150633654286 High
324 2.04492073298175 Medium-low
325 2.04111220306865 Medium-low
326 2.0304631902949 High
328 2.02751301680972 High
329 2.02652515531052 Medium-high
330 2.02553504166302 Medium-high
331 2.02354801668258 Medium-high
332 2.02354801668258 High
333 2.00524343220504 High
334 2.00211623172696 Medium-high
335 1.99045323535372 High
336 1.98504653183315 High
337 1.97736225110038 Medium-high
338 1.97514153588416 Medium-low
339 1.96953955415829 Medium-high
340 1.96157336283881 Medium-high
341 1.95695477598917 Low
342 1.95695477598917 Medium-high
343 1.95695477598917 High
344 1.95579241369129 High
345 1.95579241369129 High
346 1.95228654346446 High
347 1.94993347428826 High
348 1.94637979157661 Medium-low
349 1.94518873926101 High
350 1.94159585723398 High
351 1.93797300346753 Medium-high
352 1.93675863836894 High
353 1.93554086816469 High
354 1.93431967370509 Medium-high
355 1.92816165589465 Medium-low
356 1.9231715907154 Medium-high
357 1.91557731247414 High
358 1.91301608644889 High
359 1.91172978682121 High
360 1.90914570149349 Medium-high
361 1.90393094180087 Medium-low
362 1.90129989148119 Medium-low
363 1.89465167396181 High
364 1.89196362675523 Medium-low
365 1.88925883832202 High
366 1.88104190734006 High
367 1.87965717602508 High
368 1.87687439710119 Medium-low
369 1.87125476845032 Medium-low
370 1.86699180643366 Medium-high
371 1.86699180643366 Medium-high
372 1.86268658473803 Medium-low
373 1.85687908552394 High
374 1.85687908552394 High
375 1.85247192238891 Low
376 1.84352111348384 High
377 1.84049604103835 Medium-high
378 1.83897556628316 Medium-high
379 1.83283986933519 High
380 1.82973920484583 Medium-high
381 1.82661624374339 High
382 1.82347066303782 High
383 1.82188928747203 Medium-low
384 1.81550556653217 Low
385 1.81550556653217 Medium-high
386 1.81550556653217 High
387 1.81227816970643 High
388 1.80902660926605 High
389 1.80410316209002 Medium-high
390 1.80078957941542 Medium-low
391 1.79069438399356 High
392 1.78898879899034 Medium-high
393 1.78727648930234 High
394 1.78035892937308 Medium-low
395 1.78035892937308 High
396 1.77685838649734 Medium-high
397 1.77509747710456 Medium-high
398 1.77509747710456 Low
399 1.77332939877422 High
400 1.76977150013745 Medium-low
401 1.76977150013745 High
402 1.76256704772636 Medium-high
404 1.75339009290748 Medium-high
405 1.75339009290748 High
406 1.75339009290748 High
407 1.7515312004678 Low
408 1.74966431727411 High
409 1.74778937433057 Low
410 1.74778937433057 High
411 1.74401502870756 Medium-high
412 1.74020759339855 Medium-high
413 1.73829128480181 Medium-high
414 1.71053533751175 Low
416 1.70017630666697 High
417 1.68307009059002 Medium-high
418 1.67868614380394 Medium-high
419 1.67868614380394 High
420 1.67425749200508 Medium-low
421 1.66752866954914 High
422 1.66752866954914 Medium-high
423 1.66298416190974 High
425 1.65839159669413 Medium-high
426 1.65839159669413 High
427 1.65374994662407 High
428 1.64905815112654 High
429 1.64905815112654 High
430 1.64669310795302 Medium-high
431 1.64669310795302 Medium-low
432 1.62729428285101 Medium-low
433 1.62729428285101 High
434 1.62230609663394 Low
435 1.61725995114181 Medium-high
436 1.61471471968338 Medium-high
437 1.61215448363159 High
438 1.60175988607412 Medium-high
439 1.59912189281042 Medium-high
440 1.59912189281042 Medium-high
441 1.5964677778613 High
442 1.5964677778613 High
443 1.59379734296415 High
444 1.59111038617639 High
445 1.58568608020629 Medium-low
446 1.58294830789981 High
447 1.57462988957966 Medium-high
448 1.5718212960585 Medium-high
449 1.5689944209999 Low
450 1.56328486331306 Medium-low
451 1.56040168723123 High
452 1.55749924244887 Medium-high
453 1.55749924244887 High
454 1.55749924244887 Medium-low
455 1.55163550437325 Medium-high
456 1.54867367655914 High
457 1.54268872558351 Medium-high
458 1.53966503406081 Medium-high
459 1.53662014298535 Medium-high
460 1.53046555832342 Medium-low
461 1.53046555832342 Medium-high
462 1.53046555832342 High
463 1.52735524666186 Medium-high
464 1.52735524666186 High
465 1.52422249892484 High
466 1.52106698907611 High
467 1.51788838392053 High
468 1.51788838392053 High
469 1.51788838392053 Medium-high
471 1.51146051783922 Medium-low
472 1.51146051783922 Medium-low
473 1.50821055278907 Medium-high
474 1.50163673831417 Medium-low
475 1.50163673831417 Medium-high
476 1.49496188619781 Medium-low
477 1.49158559103129 Medium-low
478 1.49158559103129 High
479 1.49158559103129 Medium-low
480 1.48818284205586 Medium-low
481 1.48475322145612 Medium-high
482 1.47781164391492 Medium-high
483 1.47781164391492 Medium-low
484 1.47429880016178 High
485 1.47075731048105 Medium-high
486 1.47075731048105 High
487 1.47075731048105 Medium-high
488 1.46358649747251 Low
489 1.45995619653436 Medium-high
490 1.45995619653436 Medium-high
491 1.45629529364806 High
492 1.45260326850072 Medium-low
493 1.44887958739558 Medium-low
494 1.44133505280736 Medium-high
495 1.44133505280736 Medium-high
497 1.43365713452443 High
498 1.43365713452443 Medium-high
499 1.43365713452443 High
500 1.42976666617213 Medium-high
501 1.42584103121687 Medium-low
502 1.42584103121687 High
503 1.42584103121687 Low
504 1.42187958810132 Medium-high
505 1.41788167755018 Low
506 1.41788167755018 High
507 1.41384662191162 High
508 1.409773724468 High
509 1.409773724468 Medium-high
510 1.40151151759905 Low
511 1.39732071273654 Low
512 1.39308907356991 High
514 1.38450005397515 Medium-low
515 1.38014099351675 Medium-low
516 1.37573773672116 Medium-high
517 1.37573773672116 Medium-high
518 1.37128937819103 Medium-high
519 1.35766420945479 Medium-high
520 1.35302580980166 Medium-high
521 1.35302580980166 Medium-high
522 1.34833733530685 Medium-low
523 1.33880575361965 Medium-high
524 1.33880575361965 Medium-high
525 1.33396035027375 High
526 1.33396035027375 High
527 1.33396035027375 High
528 1.32906027645859 Medium-low
