Gene	Human1	Human2	Human3	Human4	Human5	Monkey1	Monkey2	Monkey4	Monkey5	Rabbit1	Rabbit2	Rabbit4	Rabbit5	GuineaPig1	GuineaPig2	GuineaPig3	Mouse1	Mouse2	Mouse3	Mouse4	Mouse5	Rat1	Rat2	Rat3	Rat4	Rat5	GoldenHamster1	GoldenHamster2	GoldenHamster3	GoldenHamster4	ChineseHamster1	ChineseHamster2	ChineseHamster3	ChineseHamster4	ChineseHamster5	Dog1	Dog2	Dog3	Pig1	Pig2	Pig3	Pig4	Pig5	Goat1	Goat2	Goat3	Zebrafish1	Zebrafish2	Zebrafish3
AGO2	11.45	14.42	6.3	7.27	7.38	7.72	7.47	5.8	4.12	0	0	0	0.82	2.84	0.39	1.46	10.26	4.55	2.29	4.32	6.84	1.9	0	0	0	0	1.36	0.57	0	0	12.56	10.48	12.44	13.94	12.74	8.97	23.02	13.64	2.05	2.68	7.64	5.23	4.41	8.54	18.87	27.16	81.75	82.59	87.06
TARBP2	0	3.84	9.79	8.09	10.61	0.83	0	0	0	1.41	0	0	0	6	108.8	83.14	1.41	5.85	7.72	6.1	2.11	0	0	0	0	0	0	0	0	0	113.31	138.56	137.64	126.97	140.58	0	4.79	0	0	0	0	1.9	0	1.04	0	1.08	217.14	246.32	263.52
DICER1	7.66	9.69	2.93	3.92	5.57	27.58	24.67	24.98	30.31	0.64	0.86	0.19	0	0	1.35	2.44	68.95	91.2	51.85	58.73	63.23	93.52	62.56	87	69.29	66.63	9.77	9.03	12.59	4.61	2.39	2.43	1.53	1.99	2.54	2.59	1.69	2.96	3.08	7.09	4.36	3.42	1.9	41.25	46.75	66.42	12.74	17.64	17.98
XPO5	1.74	0.79	4.15	5.34	8.72	3.66	1.05	3.01	0	5.25	2.89	3.25	7.4	2.73	32.18	18.42	0.71	2.36	1.71	0.98	0	1.58	0	0	0	0	1	0	1.55	10.88	49.36	44.19	45.6	54.42	50.76	1.5	1.2	0.28	11.78	10.04	17.51	15.8	8.86	6.07	7.73	11.15	15.78	12.83	15.69
AGO3	4.89	6.38	2.35	0.64	0.27	0.8	2.13	5.09	0	1.83	0.93	1.73	1.6	9.41	0.82	0.86	61.93	75.83	53.06	51.82	34.78	1.84	0	0	0.65	0.97	3.18	2.88	0	8.37	2.06	0.96	1.24	1.78	0.33	2.86	6.17	2.23	0.9	0.7	0.52	0.45	0.36	1.15	0.15	0.9	36.47	41.78	39.4
DGCR8	0.88	0.58	4.79	2.68	5.11	0.59	0.98	0	0.9	1.08	4.24	2.58	2.28	5.1	30.92	32.02	2.15	1.26	0.71	1.59	0	1.12	3.66	1.17	0	0	4.4	0	0	4.81	0	0	0	0	0	0	0	0	1.54	0.71	0	4.1	0.85	1.15	0.37	3.89	74.43	93.4	83.82
AGO1	1	1.86	2.66	2.45	2.7	0	8.12	2.47	6.18	3.72	8.76	4.71	4	1.67	4.1	2.64	0	0	0	0	0	7.19	12.12	8.47	4.92	8.39	0	0	0	0.97	4.08	6.11	4.34	6.14	3.84	0	0	0	3.17	4.54	1.9	5.51	4.29	4.85	6.13	6.25	16.42	16.49	18.53
TNRC6C	0.22	0.5	0.6	0.13	0.92	2.18	0	1.28	0	0	0	0	0	0.07	6.57	4.91	1.17	3.21	1.89	2.17	2.62	7.6	7.73	5.06	4.09	4.21	20.76	22.69	26.37	22.6	9.48	8.9	8.81	9.77	9.58	2.73	2.16	2.52	0	0	0	0	0	3.23	2.32	1.43	1.04	1.64	1.25
AGO4	0	0	0	0.35	0	0	0	0	0	0	0.94	3.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09	2	1.61	1.55	0	0	0	0	0	0	0	0.78	0.38	0	0	111.45	112.92	147.38
BTG2	0	0	0	0	0	12.83	34.93	1.92	13.45	0	0	0	0.57	26.95	36.28	29.22	8.14	18.6	3.14	7.19	6.14	9.98	9.65	0	7.99	3.15	0	0	5.77	6.77	3.74	1.38	6.34	0	3.96	0	2.53	1.59	4.02	3.05	4.62	7.68	6.84	56.55	119.54	190.66	321.38	345.38	258.92

