"","num","cum","species"
"1",0,0,"Human"
"2",1,29.4057815798618,"Human"
"3",2,47.9642821700965,"Human"
"4",3,62.9820394058216,"Human"
"5",4,73.1226124628886,"Human"
"6",5,80.7693922600742,"Human"
"7",6,87.9802673112275,"Human"
"8",7,90.7450876011646,"Human"
"9",8,91.9932662440365,"Human"
"10",9,92.5397768252896,"Human"
"11",10,93.0102348722305,"Human"
"12",11,93.3946216912111,"Human"
"13",12,93.6535069056746,"Human"
"14",13,93.9015255343399,"Human"
"15",14,94.1427406763914,"Human"
"16",15,94.3825517090419,"Human"
"17",16,94.5910246478178,"Human"
"18",17,94.7991855622824,"Human"
"19",18,94.9849824733909,"Human"
"20",19,95.1683238888322,"Human"
"21",20,95.3435730215912,"Human"
"22",21,95.5144673802663,"Human"
"23",22,95.6718022476739,"Human"
"24",23,95.8257862453036,"Human"
"25",24,95.9737671665093,"Human"
"26",25,96.1129571419007,"Human"
"27",26,96.2476634636015,"Human"
"28",27,96.3723850073404,"Human"
"29",28,96.4949698628606,"Human"
"30",29,96.6077123863002,"Human"
"31",30,96.7170022929039,"Human"
"32",31,96.8253222108876,"Human"
"33",32,96.9206320717173,"Human"
"34",33,97.0158605349006,"Human"
"35",34,97.108511405947,"Human"
"36",35,97.2011554938561,"Human"
"37",36,97.2888546747448,"Human"
"38",37,97.3709170686184,"Human"
"39",38,97.4488620982102,"Human"
"40",39,97.5242431019395,"Human"
"41",40,97.5982132131307,"Human"
"42",41,97.6698499251243,"Human"
"43",42,97.7404962990864,"Human"
"44",43,97.8094129730619,"Human"
"45",44,97.8723740525738,"Human"
"46",45,97.934711083463,"Human"
"47",46,97.9923541834083,"Human"
"48",47,98.0493189696333,"Human"
"49",48,98.1061887919375,"Human"
"50",49,98.1627126742444,"Human"
"51",50,98.2170049044117,"Human"
"52",51,98.271161471835,"Human"
"53",52,98.3248839184773,"Human"
"54",53,98.3753029773021,"Human"
"55",54,98.425057288681,"Human"
"56",55,98.4729394541922,"Human"
"57",56,98.520509595392,"Human"
"58",57,98.5674760373808,"Human"
"59",58,98.6142389852535,"Human"
"60",59,98.6608391378334,"Human"
"61",60,98.7066524464978,"Human"
"62",61,98.751685694384,"Human"
"63",62,98.7960202791383,"Human"
"64",63,98.8387065615525,"Human"
"65",64,98.8791340592782,"Human"
"66",65,98.9194462436716,"Human"
"67",66,98.9595006688512,"Human"
"68",67,98.99815098463,"Human"
"69",68,99.0364824929603,"Human"
"70",69,99.0742849165888,"Human"
"71",70,99.11174140022,"Human"
"72",71,99.1488994258142,"Human"
"73",72,99.184666908282,"Human"
"74",73,99.2199120891852,"Human"
"75",74,99.2545874865635,"Human"
"76",75,99.2886117027703,"Human"
"77",76,99.3215709664363,"Human"
"78",77,99.3536280728544,"Human"
"79",78,99.3852917573148,"Human"
"80",79,99.4168943935404,"Human"
"81",80,99.4484224152567,"Human"
"82",81,99.4799300875615,"Human"
"83",82,99.5113902779058,"Human"
"84",83,99.5426673235457,"Human"
"85",84,99.5731236095841,"Human"
"86",85,99.6032271724879,"Human"
"87",86,99.6324014455951,"Human"
"88",87,99.6615146704674,"Human"
"89",88,99.6905397145561,"Human"
"90",89,99.7187643484549,"Human"
"91",90,99.7462292709871,"Human"
"92",91,99.7730226629362,"Human"
"93",92,99.7997278741017,"Human"
"94",93,99.8262092417395,"Human"
"95",94,99.8526363442798,"Human"
"96",95,99.8788531695667,"Human"
"97",96,99.9045612595635,"Human"
"98",97,99.9292993609403,"Human"
"99",98,99.9538814501615,"Human"
"100",99,99.9769441166493,"Human"
"101",100,100,"Human"
"102",0,0,"Monkey"
"103",1,35.3643169792195,"Monkey"
"104",2,59.0576362027034,"Monkey"
"105",3,72.4282082466645,"Monkey"
"106",4,78.4161798123444,"Monkey"
"107",5,84.1011444437539,"Monkey"
"108",6,86.9544489723496,"Monkey"
"109",7,87.8167698678818,"Monkey"
"110",8,88.5085259563007,"Monkey"
"111",9,89.0528312724146,"Monkey"
"112",10,89.5724748059725,"Monkey"
"113",11,90.0013121294496,"Monkey"
"114",12,90.3833052895466,"Monkey"
"115",13,90.7435007517546,"Monkey"
"116",14,91.0484280953663,"Monkey"
"117",15,91.3406729234545,"Monkey"
"118",16,91.6066300825181,"Monkey"
"119",17,91.868214478528,"Monkey"
"120",18,92.1249783165049,"Monkey"
"121",19,92.3774385141429,"Monkey"
"122",20,92.5865197001541,"Monkey"
"123",21,92.7937165408493,"Monkey"
"124",22,92.9994587991954,"Monkey"
"125",23,93.2006028943304,"Monkey"
"126",24,93.4016628400732,"Monkey"
"127",25,93.5803660955367,"Monkey"
"128",26,93.7515409857428,"Monkey"
"129",27,93.9196504338081,"Monkey"
"130",28,94.0832608947316,"Monkey"
"131",29,94.2441004363867,"Monkey"
