"","num","cum","species"
"149",47,97.7479390853391,"Pig"
"150",48,97.8183145800598,"Pig"
"151",49,97.8873621579272,"Pig"
"152",50,97.9539055469136,"Pig"
"153",51,98.0191620041347,"Pig"
"154",52,98.0842996046005,"Pig"
"155",53,98.144457516866,"Pig"
"156",54,98.2042547603565,"Pig"
"157",55,98.2640110187589,"Pig"
"158",56,98.322525428993,"Pig"
"159",57,98.3779577606043,"Pig"
"160",58,98.4328244980003,"Pig"
"161",59,98.4859657631887,"Pig"
"162",60,98.5390824373242,"Pig"
"163",61,98.5906744661836,"Pig"
"164",62,98.6417664769686,"Pig"
"165",63,98.6922191203797,"Pig"
"166",64,98.7416676291332,"Pig"
"167",65,98.7907308780588,"Pig"
"168",66,98.8381219353913,"Pig"
"169",67,98.8848613298235,"Pig"
"170",68,98.9310064404787,"Pig"
"171",69,98.9770736794666,"Pig"
"172",70,99.0229236974878,"Pig"
"173",71,99.0683187810314,"Pig"
"174",72,99.1125908731619,"Pig"
"175",73,99.1562686815155,"Pig"
"176",74,99.1984669281898,"Pig"
"177",75,99.2404848404766,"Pig"
"178",76,99.2817978092487,"Pig"
"179",77,99.3230042167918,"Pig"
"180",78,99.363464695732,"Pig"
"181",79,99.4016750933374,"Pig"
"182",80,99.4368853824962,"Pig"
"183",81,99.4710177638388,"Pig"
"184",82,99.5045763539485,"Pig"
"185",83,99.5372045825591,"Pig"
"186",84,99.5695991961677,"Pig"
"187",85,99.6019610217058,"Pig"
"188",86,99.6336916768877,"Pig"
"189",87,99.6642911436389,"Pig"
"190",88,99.6940340220495,"Pig"
"191",89,99.7223957029922,"Pig"
"192",90,99.7503188434926,"Pig"
"193",91,99.777881315218,"Pig"
"194",92,99.8050134435187,"Pig"
"195",93,99.8321291777842,"Pig"
"196",94,99.8586465297639,"Pig"
"197",95,99.8845532039314,"Pig"
"198",96,99.9094229553708,"Pig"
"199",97,99.9327393719724,"Pig"
"200",98,99.9558303705896,"Pig"
"201",99,99.9780196972694,"Pig"
"202",100,100,"Pig"
"203",0,0,"Goat"
"204",1,32.3071952414235,"Goat"
"205",2,54.3974856183908,"Goat"
"206",3,63.4017688647352,"Goat"
"207",4,70.7826966056564,"Goat"
"208",5,74.7507400071928,"Goat"
"209",6,76.9157430034312,"Goat"
"210",7,78.5096055090554,"Goat"
"211",8,79.6243604355263,"Goat"
"212",9,80.6864772304877,"Goat"
"213",10,81.6462905316407,"Goat"
"214",11,82.520385261949,"Goat"
"215",12,83.3143381576386,"Goat"
"216",13,83.9494490653994,"Goat"
"217",14,84.5453998855149,"Goat"
"218",15,85.1146963651526,"Goat"
"219",16,85.6711965261962,"Goat"
"220",17,86.1103617100173,"Goat"
"221",18,86.5445871795863,"Goat"
"222",19,86.9773374403742,"Goat"
"223",20,87.3680666025472,"Goat"
"224",21,87.7227537319988,"Goat"
"225",22,88.0622305648507,"Goat"
"226",23,88.3680793429867,"Goat"
"227",24,88.6536440003818,"Goat"
"228",25,88.9381357786633,"Goat"
"229",26,89.2126587218478,"Goat"
"230",27,89.4866452254756,"Goat"
"231",28,89.7597711906477,"Goat"
"232",29,90.0321483756051,"Goat"
"233",30,90.2876947694685,"Goat"
"234",31,90.5387484820437,"Goat"
"235",32,90.7861365243142,"Goat"
"236",33,91.0302835775959,"Goat"
"237",34,91.2640706419371,"Goat"
"238",35,91.4959578161814,"Goat"
"239",36,91.7161662542415,"Goat"
"240",37,91.9336477912213,"Goat"
"241",38,92.1505928886443,"Goat"
"242",39,92.3627994366491,"Goat"
"243",40,92.5682669627217,"Goat"
"244",41,92.7655649613775,"Goat"
"245",42,92.9598790149986,"Goat"
"246",43,93.1449730137375,"Goat"
"247",44,93.3227356718671,"Goat"
"248",45,93.50020775857,"Goat"
"249",46,93.6772998672536,"Goat"
"250",47,93.8488599430078,"Goat"
"251",48,94.019749469316,"Goat"
"252",49,94.1881020835536,"Goat"
"253",50,94.3522302362815,"Goat"
"254",51,94.5163360373612,"Goat"
"255",52,94.6786872340573,"Goat"
"256",53,94.8368586725401,"Goat"
"257",54,94.9928284736752,"Goat"
"258",55,95.1435903407799,"Goat"
"259",56,95.2921840980093,"Goat"
"260",57,95.4342623497885,"Goat"
"261",58,95.5741277883961,"Goat"
"262",59,95.7104840182363,"Goat"
"263",60,95.8457003140183,"Goat"
"264",61,95.9806819174943,"Goat"
"265",62,96.1133501253816,"Goat"
"266",63,96.2430120365861,"Goat"
"267",64,96.3679577500205,"Goat"
"268",65,96.4899083425962,"Goat"
"269",66,96.6103837263908,"Goat"
"270",67,96.7297303519513,"Goat"
"271",68,96.8482723181766,"Goat"
"272",69,96.9662890206692,"Goat"
"273",70,97.0835457671231,"Goat"
"274",71,97.1970586125036,"Goat"
"275",72,97.3094762271222,"Goat"
"276",73,97.4216256219625,"Goat"
"277",74,97.5332385772461,"Goat"
"278",75,97.6417334776058,"Goat"
"279",76,97.7490660922591,"Goat"
"280",77,97.8563987069124,"Goat"
"281",78,97.96038975016,"Goat"
"282",79,98.0628944088023,"Goat"
"283",80,98.1646279355816,"Goat"
"284",81,98.2655344513777,"Goat"
"285",82,98.366139219923,"Goat"
"286",83,98.4662299005598,"Goat"
"287",84,98.5638060207741,"Goat"
"288",85,98.6596387124288,"Goat"
"289",86,98.755292590898,"Goat"
"290",87,98.8499741726705,"Goat"
"291",88,98.9420294357796,"Goat"
"292",89,99.0336600175729,"Goat"
"293",90,99.1250335554119,"Goat"
"294",91,99.2163623899545,"Goat"
"295",92,99.3071659607644,"Goat"
"296",93,99.397488971138,"Goat"
"297",94,99.4872867177789,"Goat"
"298",95,99.5746816622384,"Goat"
"299",96,99.6606796286855,"Goat"
"300",97,99.7466328918361,"Goat"
"301",98,99.8324185176253,"Goat"
"302",99,99.9164830665031,"Goat"
"303",100,100,"Goat"
"304",0,0,"Zebrafish"
"305",1,7.68767903831169,"Zebrafish"
"306",2,14.6856070501184,"Zebrafish"
"307",3,21.6202925343675,"Zebrafish"
"308",4,26.128876325972,"Zebrafish"
"309",5,29.5817062197602,"Zebrafish"
"310",6,32.8660754355529,"Zebrafish"
"311",7,35.9442505676756,"Zebrafish"
"312",8,38.5167087539268,"Zebrafish"
"313",9,40.6936360043672,"Zebrafish"
"314",10,42.7787973984045,"Zebrafish"
"315",11,44.7644341440434,"Zebrafish"
"316",12,46.7168587944512,"Zebrafish"
"317",13,48.2884328133268,"Zebrafish"
"318",14,49.733633414382,"Zebrafish"
"319",15,50.989832075181,"Zebrafish"
"320",16,52.2242614634756,"Zebrafish"
"321",17,53.4029280229705,"Zebrafish"
"322",18,54.5613882320895,"Zebrafish"
"323",19,55.6955673295689,"Zebrafish"
"324",20,56.7653317078943,"Zebrafish"
"325",21,57.8235974448456,"Zebrafish"
"326",22,58.8614893754786,"Zebrafish"
"327",23,59.8758816555364,"Zebrafish"
"328",24,60.8732492481228,"Zebrafish"
"329",25,61.8245664565653,"Zebrafish"
"330",26,62.7731485512828,"Zebrafish"
"331",27,63.650282777268,"Zebrafish"
"332",28,64.4925861672461,"Zebrafish"
"333",29,65.2626602274275,"Zebrafish"
"334",30,66.0166026984967,"Zebrafish"
"335",31,66.7674751439563,"Zebrafish"
"336",32,67.4964666796166,"Zebrafish"
"337",33,68.2238952931484,"Zebrafish"
"338",34,68.949426072667,"Zebrafish"
"339",35,69.6695982620306,"Zebrafish"
"340",36,70.3830722137006,"Zebrafish"
"341",37,71.0848242494067,"Zebrafish"
"342",38,71.7850133629842,"Zebrafish"
"343",39,72.4756574878483,"Zebrafish"
"344",40,73.1631757684553,"Zebrafish"
"345",41,73.8502474998828,"Zebrafish"
"346",42,74.5244809423974,"Zebrafish"
"347",43,75.1813547855559,"Zebrafish"
"348",44,75.8203666615314,"Zebrafish"
"349",45,76.4474333469531,"Zebrafish"
"350",46,77.0569729770764,"Zebrafish"
"351",47,77.6563536133643,"Zebrafish"
"352",48,78.254450420761,"Zebrafish"
"353",49,78.8505377568495,"Zebrafish"
"354",50,79.4375266534041,"Zebrafish"
"355",51,80.0108957999817,"Zebrafish"
"356",52,80.5595372857401,"Zebrafish"
"357",53,81.1047738340043,"Zebrafish"
"358",54,81.6473310871909,"Zebrafish"
"359",55,82.1822970043248,"Zebrafish"
"360",56,82.7071597462707,"Zebrafish"
"361",57,83.2064017290384,"Zebrafish"
"362",58,83.7003409402986,"Zebrafish"
"363",59,84.1870795460381,"Zebrafish"
"364",60,84.6641615257692,"Zebrafish"
"365",61,85.1223768026632,"Zebrafish"
"366",62,85.578191877717,"Zebrafish"
"367",63,86.0325556679371,"Zebrafish"
"368",64,86.4829563341885,"Zebrafish"
"369",65,86.9306777053624,"Zebrafish"
"370",66,87.3705844658937,"Zebrafish"
"371",67,87.8084817551169,"Zebrafish"
"372",68,88.2442021170897,"Zebrafish"
"373",69,88.6780246450492,"Zebrafish"
"374",70,89.1019672724106,"Zebrafish"
"375",71,89.5188209315462,"Zebrafish"
"376",72,89.9331069328993,"Zebrafish"
"377",73,90.3423134373346,"Zebrafish"
"378",74,90.7496221077568,"Zebrafish"
"379",75,91.1563725917045,"Zebrafish"
"380",76,91.5574295736125,"Zebrafish"
"381",77,91.9553607112635,"Zebrafish"
"382",78,92.3435235856113,"Zebrafish"
"383",79,92.730681724305,"Zebrafish"
"384",80,93.1080715996954,"Zebrafish"
"385",81,93.4787074187448,"Zebrafish"
"386",82,93.8477803156656,"Zebrafish"
"387",83,94.2141180988615,"Zebrafish"
"388",84,94.5788929599289,"Zebrafish"
"389",85,94.9430538158744,"Zebrafish"
"390",86,95.3002931595364,"Zebrafish"
"391",87,95.6523971876333,"Zebrafish"
"392",88,96.0012079155308,"Zebrafish"
"393",89,96.3471718924084,"Zebrafish"
"394",90,96.6928009574014,"Zebrafish"
"395",91,97.0379834732149,"Zebrafish"
"396",92,97.3828868957911,"Zebrafish"
"397",93,97.7268972200081,"Zebrafish"
"398",94,98.0681166118528,"Zebrafish"
"399",95,98.4069916205046,"Zebrafish"
"400",96,98.742182598425,"Zebrafish"
"401",97,99.0674378570998,"Zebrafish"
"402",98,99.3833155830034,"Zebrafish"
"403",99,99.6941138119894,"Zebrafish"
"404",100,100,"Zebrafish"
